Gender,Interest,Skills,Any_Add_Cert_Courses,Cert_Courses_Desc,Course
Female,Cloud computing,Python;SQL;Java,Yes,"Linux,Git",B.Sc
Male,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",Yes,Microsoft certification ,B.E
Female,Understand human behaviour,People management;Communication skills,Yes,Resilience psychology,BA
Female,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,No,No,MBA
Female,Technology,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",Yes,Extreme Productivity (Blinkist Summary),B.Tech
Female,Technology,"C,C++,HTML,Java",Yes,"C,C++,HTML,Java",B.Tech
Male,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",No,No,BMS
Male,Technology,NO,No,No,B.Tech
Male,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,Yes,Redhat certification,B.Tech
Female,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,No,No,B.Sc
Male,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",Yes,Alteryx and Tableau,B.Com
Male,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",No,No,BE
Male,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,No,No,MBA
Male,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,Yes,Machine learning with python ,BE
Male,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,No,No,BCA
Male,Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,Yes,"ML,Tane the Python,Recommendation project based on Market Analysis ,second prize in Nation Level project competition ",BE
Male,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,No,No,B.Tech
Male,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",Yes,Google Data Analytics Course,BE
Male,Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,Yes,"Control Systems;
Control of mobile robots;
Digital Signal Processing;
Electric Power Systems;
Electric machines;
Power Electronics",B.Tech
Male,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",No,No,BE
Male,Teaching;Technology;Industires,Hardware skills,No,No,M.Tech
Male,Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,No,No,B.Tech
Male,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",Yes,ANSYS,B.Tech
Male,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,No,No,B.Com
Male,Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,No,No,BCA
Male,Teaching,Active Listening;Teaching,No,No,BCA
Male,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,No,No,B.Tech
Male,Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,Yes,"CATIA,AUTOCAD,PRO E",B.Tech
Male,Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,Yes,"Equity Derivatives;Advanced Financial Statements Analysis;
Financial Modelling;
Integrated Mangement and Safety;
Pricing and Valuation of Fixed Income Instruments",BBA
Male,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",Yes,"Six Sigma, digital marketing.",BE
Female,Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",Yes,"JAVA,Embedded and IOT",BE
Male,Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",No,No,B.Tech
Male,Technology,NO,No,No,BE
Male,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,No,No,B.Com
Female,Sales/Marketing,Business Knowledge,No,No,B.Com
Male,Software Job,NO,No,No,B.Tech
Male,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,No,No,B.Tech
