BA (Hons) Human Resource Management,Business, Colombo / KIC / , Degree ,Full Time / Part Time,https://www.nibm.lk/programmes/ba-hons-human-resource-management/
BA (Hons) Management and Leadership,Business, Colombo / KIC / , Degree ,Full Time / Part Time,https://www.nibm.lk/programmes/ba-hons-management-and-leadership/
BA (Hons) Professional Accounting,Business, Colombo / KIC / , Degree ,Full Time,https://www.nibm.lk/programmes/ba-hons-professional-accounting/
BSc (Hons) in Digital Banking and Finance,Business, Colombo / , Degree ,Full-Time/ Part-Time,https://www.nibm.lk/programmes/bsc-hons-in-digital-banking-and-finance/
Bachelor of Business,Business, Colombo / , Degree ,Full time / Part Time,https://www.nibm.lk/programmes/bachelor-of-business/
Higher National Diploma in Human Resource Management (Part Time),Business, Colombo / Galle / , Higher National Diploma ,Part Time,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-p-t/
Higher National Diploma in Human Resource Management (Full Time),Business, Colombo / KIC / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-f-t/
Higher National Diploma in Business Management (Full Time),Business, Colombo / Kandy / Kurunagala / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-full-time/
Higher National Diploma in Professional Accounting,Business, Higher National Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-professional-accounting/
Higher National Diploma in Business Management (Part Time),Business, Colombo / Kandy / Galle / Kurunagala / , Higher National Diploma ,Part Time / Weekend,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-part-time/
Higher Diploma in Digital Banking and Finance (Part-Time),Business, Colombo / , Higher National Diploma ,Part-Time,https://www.nibm.lk/programmes/higher-national-diploma-in-digital-banking-and-finance-copy/
Higher National Diploma in Digital Banking and Finance (Full-Time),Business, Colombo / , Higher National Diploma ,Full-Time,https://www.nibm.lk/programmes/higher-national-diploma-in-digital-banking-and-finance/
Advanced Diploma in Digital Marketing and Brand Management,Business, Colombo / KIC / , Advanced Diploma ,Full Time / Part Time,https://www.nibm.lk/programmes/advanced-diploma-in-digital-marketing-and-brand-management/
Advanced Diploma in Digital Banking and Finance (For Students After A/Ls),Business, Colombo / , Advanced Diploma ,Full Time,https://www.nibm.lk/programmes/advanced-diploma-in-digital-banking-and-financial-technology-for-students-after-a-ls/
Advanced Diploma in Digital Banking and Finance (For Working Professionals),Business, Colombo / , Advanced Diploma ,Part time (Saturday),https://www.nibm.lk/programmes/advanced-diploma-in-digital-banking-and-financial-technology/
Advanced Diploma in Hi-Tech Agro-Entrepreneurship,Business, Kurunagala / , Advanced Diploma ,Full Time / Part Time,https://www.nibm.lk/programmes/advanced-diploma-in-hi-tech-agro-entrepreneurship/
Advanced Diploma in Financial & Management Accounting (For After A/L Students),Business, Galle / Kandy / , Advanced Diploma ,Full Time,https://www.nibm.lk/programmes/advanced-diploma-in-financial-management-accounting-for-after-a-l-students/
Advanced Diploma in Financial and Management Accounting (For Working Professionals),Business, Colombo / Galle / Kandy / KIC / , Advanced Diploma ,Part Time Weekend,https://www.nibm.lk/programmes/advanced-diploma-in-financial-and-management-accounting-part-time/
Advanced Diploma in Business Management (for After A/L Students),Business, Colombo / Galle / Kandy / Kurunagala / Matara / , Advanced Diploma ,Full Time,https://www.nibm.lk/programmes/advanced-diploma-in-business-management-adbm-for-after-a-l-students/
Advanced Diploma in Marketing Management,Business, Colombo / Galle / Kandy / , Advanced Diploma ,Full Time Part / Time Weekend,https://www.nibm.lk/programmes/advanced-diploma-in-marketing-management/
Advanced National Diploma in Human Resource Management (for Working Professionals),Business, Colombo / Galle / Kurunagala / Matara / Kandy / , Advanced Diploma ,Full Time / Part Time / Weekend,https://www.nibm.lk/programmes/advanced-national-diploma-in-human-resource-management-english-copy/
Advanced National Diploma in Human Resource Management (for After A/L Students),Business, Colombo / Galle / Kurunagala / Matara / Kandy / , Advanced Diploma ,Full Time / Part Time / Weekend,https://www.nibm.lk/programmes/advanced-national-diploma-in-human-resource-management-english/
Advanced Diploma in Business Management (for Professionals),Business, Colombo / Kandy / Kurunagala / Galle / Matara / , Advanced Diploma ,Part Time,https://www.nibm.lk/programmes/advanced-diploma-in-business-management-adbm-for-professionals/
Advanced National Diploma in Human Resource Management (Sinhala),Business, Advanced Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/advanced-national-diploma-in-human-resource-management-sinhala/
Advanced Diploma in Event Management and Experiential Design,Business, Colombo / , Advanced Diploma ,Part Time,https://www.nibm.lk/programmes/advanced-diploma-in-event-management-and-experiential-design/
Advanced Diploma in Healthcare Management,Business, Colombo / , Advanced Diploma ,Full-Time / Part-Time,https://www.nibm.lk/programmes/advanced-diploma-in-healthcare-management/
